Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,target
Female,23.705015,1.640765,69.391069,no,no,2.413584,2.244198,Sometimes,no,2.183696,no,0.353156,0.377082,Sometimes,Public_Transportation,0
Male,26.016107,1.811605,128.136394,yes,yes,1.687056,1.715648,Sometimes,no,2.892544,no,0.548654,1.145785,Sometimes,Automobile,1
Female,20.851390,1.537132,68.355651,no,yes,2.354144,1.144358,Sometimes,no,1.934456,no,1.927982,0.462672,Sometimes,Automobile,0
Male,26.632761,1.839263,110.820493,no,yes,1.960444,3.029315,Sometimes,no,1.273217,no,0.262622,0.865938,no,Public_Transportation,0
Female,21.885221,1.667592,86.060873,yes,yes,1.097264,2.602232,Sometimes,no,1.219103,no,0.674547,1.699381,no,Public_Transportation,0
Male,30.006337,1.785706,113.156012,yes,yes,2.049245,3.998933,Always,no,2.128253,no,1.163088,0.823715,Sometimes,Public_Transportation,1
Female,23.765080,1.657676,67.342781,yes,no,1.161257,3.241741,Sometimes,no,2.439900,no,2.496704,0.405255,Sometimes,Public_Transportation,0
Female,25.761895,1.618798,54.575315,yes,yes,2.978876,1.373791,Sometimes,no,2.065299,no,2.496666,1.318255,Sometimes,Public_Transportation,0
Female,21.986196,1.590264,63.772961,yes,yes,1.868904,3.925593,no,no,1.869461,no,1.942598,1.886738,Sometimes,Public_Transportation,0
Male,23.732754,1.764954,74.606518,yes,yes,1.645424,2.056397,Frequently,no,1.256589,no,0.257185,1.020365,Sometimes,Public_Transportation,0
Male,27.762760,1.673983,79.073812,yes,yes,2.161292,1.532784,Sometimes,no,1.533021,no,0.750209,1.157380,no,Public_Transportation,0
Male,22.141260,1.793634,69.804181,yes,yes,2.753507,3.177834,Sometimes,no,1.802981,no,1.819570,1.606775,Sometimes,Automobile,0
Male,30.706449,1.792929,112.632595,yes,yes,1.639494,3.981905,Sometimes,no,1.617513,no,1.364073,1.187774,Sometimes,Automobile,1
Female,19.259624,1.613126,59.745713,yes,yes,1.809944,3.953881,no,no,2.389569,no,1.743502,0.565049,no,Public_Transportation,0
Male,26.441921,1.798940,112.561923,yes,yes,2.670378,3.472640,Sometimes,no,2.785071,no,1.604425,1.338181,Sometimes,Public_Transportation,1
Female,31.527896,1.743099,91.190536,yes,yes,2.206877,1.128903,Sometimes,yes,2.637826,no,0.127153,1.764873,Sometimes,Public_Transportation,0
Female,15.265580,1.635735,61.067375,yes,yes,1.250685,2.690875,Sometimes,no,1.599340,no,2.112391,0.828823,Sometimes,Automobile,0
Male,18.620032,1.767586,75.742973,yes,yes,2.792756,2.216821,Sometimes,no,1.837347,no,0.065363,1.296213,Sometimes,Public_Transportation,0
Female,31.416817,1.579723,78.652561,yes,yes,1.519296,3.562533,Sometimes,yes,1.149389,no,0.853022,1.283244,Sometimes,Public_Transportation,0
Female,14.936123,1.553647,44.331085,yes,no,2.515311,3.435445,Always,no,1.699214,no,0.948979,1.715441,Sometimes,Public_Transportation,0
Male,15.020510,1.766301,53.706226,yes,yes,2.749768,2.084676,Frequently,no,2.876314,yes,2.013252,0.324226,Frequently,Public_Transportation,0
Male,29.017815,1.736895,108.324051,yes,yes,2.881626,1.657239,Sometimes,no,2.874725,no,0.119825,1.322148,no,Public_Transportation,1
Female,22.686185,1.556477,63.309191,yes,no,2.498198,1.680278,Always,no,1.277100,no,0.830250,1.577302,Sometimes,Public_Transportation,0
Female,18.820297,1.587254,62.519950,yes,no,1.856289,1.891100,Sometimes,no,1.069404,no,0.980094,0.774097,Sometimes,Public_Transportation,0
Male,17.746052,1.657707,49.778307,no,yes,1.429494,1.518599,Sometimes,no,2.009552,no,0.689906,1.747386,Sometimes,Public_Transportation,0
Male,25.588606,1.739293,111.803489,yes,no,2.358818,2.726636,Sometimes,no,2.192709,no,0.626753,1.231621,Sometimes,Automobile,1
Female,28.126256,1.649029,86.952104,no,yes,1.900662,2.764040,Sometimes,no,1.814395,no,0.882846,1.529147,Sometimes,Public_Transportation,0
Male,38.752094,1.718146,113.177368,yes,yes,2.955665,1.833658,Sometimes,no,2.730987,no,0.732630,0.523391,Sometimes,Public_Transportation,1
Female,22.193393,1.633150,46.875905,no,yes,2.277792,1.180641,Always,no,2.266202,no,0.054310,1.228720,Sometimes,Public_Transportation,0
Female,16.379025,1.547368,76.373802,no,yes,2.898375,2.712727,Sometimes,no,1.909463,no,2.641374,0.317896,no,Public_Transportation,0
Male,22.034003,1.859796,60.327242,yes,yes,2.592586,1.411438,Sometimes,no,2.656146,no,0.802642,0.375235,Sometimes,Public_Transportation,0
Male,16.071798,1.742516,55.331839,yes,yes,2.202658,2.960319,Sometimes,no,2.193910,no,1.598957,0.465919,Sometimes,Public_Transportation,0
Male,17.072550,1.821930,100.632855,no,yes,2.440217,2.195619,Sometimes,no,1.729431,no,0.400121,1.390718,Sometimes,Public_Transportation,0
Female,17.311033,1.647994,127.141825,no,yes,2.494760,2.357033,Sometimes,no,1.615385,no,1.795981,0.481874,no,Public_Transportation,0
Female,18.988950,1.535701,112.192052,yes,yes,2.525315,2.304249,Sometimes,no,1.240687,no,2.759928,0.972886,Sometimes,Public_Transportation,0
Female,21.339965,1.565477,56.641964,yes,yes,2.805682,1.553214,Sometimes,no,1.180811,no,2.198873,0.397977,Sometimes,Public_Transportation,0
Female,21.010786,1.644674,70.045337,yes,yes,1.060497,1.644185,Sometimes,no,1.266398,no,2.604280,1.027948,no,Automobile,0
Female,17.192542,1.701232,59.135877,yes,yes,1.964726,3.134329,Sometimes,no,2.230345,no,0.448834,1.386408,no,Automobile,0
Male,17.547558,1.849818,113.899859,no,yes,2.700501,1.657156,Sometimes,no,2.765670,yes,2.866704,0.015028,Sometimes,Public_Transportation,0
Female,16.740472,1.610581,60.990337,yes,yes,2.638034,3.839095,Sometimes,no,2.237691,yes,0.110073,0.173022,Sometimes,Public_Transportation,0
Male,20.010852,1.723629,136.007187,yes,yes,2.545762,2.299640,Sometimes,no,1.188280,no,2.358861,1.541622,Sometimes,Public_Transportation,0
Male,27.086900,1.809514,119.594086,yes,yes,2.646698,3.653446,Sometimes,no,1.065128,no,1.728640,0.305905,Sometimes,Public_Transportation,1
Male,22.987929,1.745214,118.561888,yes,yes,1.904016,3.867078,Sometimes,no,1.090570,no,1.545958,1.269186,Sometimes,Automobile,1
Male,35.639590,1.750816,51.381977,no,yes,1.113960,1.094612,Sometimes,no,1.212470,no,2.787186,1.647070,Sometimes,Public_Transportation,0
Male,16.867316,1.663839,123.952906,yes,yes,1.042756,2.185339,Sometimes,no,2.941355,no,1.729615,0.802812,Sometimes,Public_Transportation,0
Female,19.153996,1.648028,78.600411,yes,yes,2.696400,3.193724,Sometimes,no,1.412967,no,0.095263,1.636213,no,Public_Transportation,0
Male,27.635465,1.875378,165.671731,yes,yes,2.699115,3.068926,Sometimes,no,2.370235,no,1.986443,1.375652,Sometimes,Public_Transportation,0
Female,28.692326,1.625254,43.706573,yes,yes,1.741793,3.025870,Sometimes,no,1.818680,no,1.401764,0.481914,Sometimes,Public_Transportation,0
Female,15.988391,1.633747,86.206249,no,yes,2.235257,1.878605,Sometimes,no,2.996848,yes,0.341569,0.574429,no,Public_Transportation,0
Female,17.360126,1.632372,121.972477,yes,yes,1.233025,1.374886,Frequently,no,1.082471,no,1.141770,1.980806,Sometimes,Public_Transportation,0
Female,19.770751,1.672581,65.382377,yes,yes,2.627562,2.695922,no,no,1.532293,no,2.052849,0.917288,Sometimes,Public_Transportation,0
Male,18.513491,1.792274,104.685914,yes,yes,2.477649,3.285170,no,no,1.031888,no,2.913686,0.858794,no,Public_Transportation,0
Male,26.844483,1.700218,112.706753,yes,yes,2.157695,3.414207,Sometimes,no,2.998725,no,1.601408,0.511319,no,Automobile,0
Male,21.043319,1.931938,90.311866,yes,yes,1.823395,2.017774,Always,no,1.449763,no,2.576175,0.574931,Sometimes,Public_Transportation,0
Female,15.621298,1.680730,92.289442,yes,yes,2.327959,2.444467,Frequently,no,2.518867,no,1.351903,1.574550,Sometimes,Public_Transportation,0
Male,32.692218,1.788950,49.263403,yes,yes,2.554320,2.117770,Sometimes,no,2.183722,no,0.534987,1.605925,no,Automobile,0
Male,14.585685,1.807955,104.637841,yes,yes,1.823668,1.117291,Sometimes,yes,1.528994,no,1.916441,1.461530,Sometimes,Automobile,0
Male,23.281400,1.719717,61.784856,yes,no,2.810957,2.045243,Sometimes,no,1.708153,yes,1.027432,0.217975,Sometimes,Public_Transportation,0
Male,25.671683,1.751586,109.509529,yes,yes,2.607583,2.239576,Sometimes,no,1.875384,no,2.111003,0.358027,Sometimes,Automobile,1
Female,18.615007,1.610243,74.215531,yes,yes,1.425568,3.024824,Frequently,no,2.773828,no,1.031249,1.284130,Sometimes,Automobile,0
Female,18.906661,1.584594,77.691354,yes,yes,2.176558,2.715789,Sometimes,no,2.221809,no,1.519535,1.973572,Sometimes,Public_Transportation,0
Male,21.076488,1.825127,74.252854,yes,yes,2.153212,1.080018,Sometimes,no,1.210653,no,2.661205,1.120388,no,Automobile,0
Female,16.933857,1.593710,53.673809,yes,yes,1.609484,1.195868,Sometimes,no,1.300289,no,0.274162,0.365258,Sometimes,Public_Transportation,0
Female,20.378278,1.574359,49.186951,no,yes,2.762227,2.750781,Sometimes,no,2.095974,no,1.018007,1.352881,Sometimes,Public_Transportation,0
Male,22.714706,1.823804,84.416793,no,yes,2.568731,1.280512,Sometimes,no,2.909363,no,1.706849,0.710346,no,Walking,0
Female,20.901963,1.613377,39.879087,yes,yes,2.563334,2.892112,Sometimes,no,1.029395,no,2.000896,0.779559,Sometimes,Public_Transportation,0
Male,22.031938,1.763014,69.898565,yes,yes,1.846171,1.445595,Sometimes,no,2.490666,no,0.260821,1.011168,Sometimes,Public_Transportation,0
Female,16.928469,1.848707,157.805668,no,yes,2.795389,3.951275,Frequently,no,1.362387,no,2.496211,1.685998,Sometimes,Public_Transportation,0
Female,21.493021,1.573553,64.419699,no,yes,2.448794,2.624616,Always,no,2.996098,no,2.367639,1.104128,no,Public_Transportation,0
Female,17.370279,1.653956,43.451797,no,yes,2.594625,3.702627,Sometimes,no,1.448500,no,1.124589,1.529851,no,Public_Transportation,0
Female,17.842862,1.572752,45.010374,no,no,2.991235,2.617790,Frequently,no,1.539875,no,1.639793,0.113832,no,Walking,0
Female,22.614163,1.626394,73.276338,yes,no,1.819272,3.122395,Sometimes,no,1.963143,no,1.317833,1.310297,Sometimes,Automobile,0
Male,17.502370,1.812557,90.520989,no,yes,1.237614,3.305968,Sometimes,no,1.524381,no,1.155656,0.393452,Sometimes,Public_Transportation,0
Male,16.272676,1.727315,66.971274,yes,yes,2.960353,3.493281,Sometimes,no,2.331299,no,1.141523,0.024913,no,Automobile,0
Female,20.403821,1.495404,57.092407,yes,yes,2.222132,1.537892,Frequently,no,1.336427,no,0.397020,0.020033,Frequently,Public_Transportation,0
Male,33.179725,1.733758,74.190054,yes,yes,1.554076,3.394048,Sometimes,no,1.347772,no,0.081878,1.576292,Sometimes,Public_Transportation,0
Female,17.111872,1.662786,60.371282,yes,yes,2.921193,2.313369,Sometimes,no,1.791712,no,0.604978,0.271719,Sometimes,Public_Transportation,0
Male,34.827252,1.667409,81.844887,yes,yes,1.047698,1.035012,Sometimes,no,2.435049,no,1.448389,0.257936,Sometimes,Public_Transportation,0
Female,15.787893,1.555246,60.633329,yes,yes,1.026506,2.156047,Sometimes,no,1.034150,no,2.683145,0.904833,Sometimes,Public_Transportation,0
Male,26.282488,1.766942,115.639719,yes,yes,1.894514,2.699099,Sometimes,no,2.456640,no,0.264210,0.417674,Sometimes,Automobile,1
Male,28.017871,1.723509,108.898594,yes,yes,2.613270,3.322473,Sometimes,no,1.561919,no,2.303076,0.104496,Sometimes,Automobile,1
Female,18.286570,1.627383,47.611161,yes,yes,2.124982,2.585454,Sometimes,no,2.385264,no,0.928461,1.906756,Sometimes,Public_Transportation,0
Male,31.153171,1.745328,118.504647,yes,yes,2.713918,3.547745,Frequently,no,2.073391,no,2.232618,0.268551,Sometimes,Walking,1
Male,23.730432,1.701784,105.011918,yes,no,2.571640,1.546058,Always,no,1.953848,no,1.720517,1.107225,Sometimes,Automobile,1
Male,35.859574,1.778422,108.452308,yes,yes,2.707323,3.595733,Sometimes,no,2.024759,no,0.946485,0.125219,Sometimes,Automobile,1
Female,16.065064,1.610587,106.673760,yes,yes,2.800077,3.578964,Sometimes,no,1.202643,no,1.366037,0.756742,Sometimes,Public_Transportation,0
Male,20.733359,1.810443,105.211231,yes,no,2.022118,2.897262,Sometimes,no,2.122038,no,1.651402,1.256118,no,Public_Transportation,0
Female,19.870453,1.625639,88.715323,yes,yes,1.254324,3.257904,Sometimes,no,1.866867,yes,1.355191,0.174641,Sometimes,Public_Transportation,0
Male,20.429413,1.788122,50.104268,no,yes,2.075723,1.305023,Sometimes,no,1.415538,no,2.115403,0.708156,Sometimes,Public_Transportation,0
Male,18.008513,1.709770,91.076480,yes,yes,1.095815,2.579211,Frequently,no,2.568175,no,0.924087,0.483657,Sometimes,Public_Transportation,0
Male,19.212724,1.720333,59.103996,yes,yes,1.733774,3.413007,Sometimes,no,1.388372,no,2.988912,0.031132,Sometimes,Public_Transportation,0
Female,15.472961,1.683485,57.700872,yes,yes,1.829906,2.896897,Sometimes,no,2.929630,no,1.043960,0.071739,no,Public_Transportation,0
Male,18.035503,1.765568,67.944496,yes,yes,1.016507,1.197536,Sometimes,no,1.273350,no,1.748087,0.911699,no,Public_Transportation,0
Female,18.838115,1.660037,82.225883,yes,no,1.402698,3.250793,Sometimes,no,1.015369,no,2.487829,0.734388,no,Public_Transportation,0
Female,17.581119,1.595309,52.453585,no,yes,1.580217,3.375781,Sometimes,no,1.623123,no,1.727022,1.514564,Sometimes,Public_Transportation,0
Female,21.222934,1.713523,103.411301,yes,yes,2.464751,1.350433,Sometimes,no,2.644771,no,1.681780,1.435977,Sometimes,Public_Transportation,0
Male,16.809783,1.838629,84.788301,yes,yes,2.460871,1.906754,Sometimes,no,2.781965,no,0.399566,0.434471,Sometimes,Public_Transportation,0
Female,25.062285,1.602728,68.359225,yes,yes,2.589606,3.532788,Sometimes,no,1.293482,no,1.018751,0.732345,no,Public_Transportation,0
Male,27.036888,1.834936,67.645081,yes,no,1.746408,1.201089,Sometimes,no,2.520738,yes,1.112311,1.662585,no,Public_Transportation,0
Female,15.511038,1.568177,58.192509,yes,yes,2.205629,1.253488,Sometimes,no,1.709669,no,2.893444,0.412559,no,Public_Transportation,0
Female,22.411227,1.616710,75.035808,yes,yes,2.582832,3.915535,Sometimes,no,2.765732,yes,2.613041,1.773170,no,Public_Transportation,0
Male,20.549545,1.774506,61.831089,no,yes,2.509130,3.947191,Sometimes,no,2.812891,no,1.527652,1.835461,no,Automobile,0
Male,22.430937,1.827000,125.560695,yes,yes,1.577198,1.642883,Sometimes,no,2.712158,no,1.555511,0.290813,no,Bike,1
Male,23.065488,1.815116,84.813820,yes,yes,1.477859,2.025570,Frequently,no,1.570363,no,0.823170,0.776978,no,Automobile,0
Female,16.495407,1.665641,77.324058,yes,yes,2.795359,2.535872,Sometimes,no,2.322253,no,2.119309,1.654688,no,Public_Transportation,0
Male,23.750594,1.747476,50.630465,yes,yes,2.878637,3.692401,Sometimes,no,1.941692,no,1.353413,0.460244,no,Public_Transportation,0
Female,22.309912,1.559187,56.824837,yes,yes,1.827659,3.262360,Sometimes,no,1.765339,no,1.118690,0.631006,Sometimes,Public_Transportation,0
Male,19.650277,1.774567,99.538998,no,yes,2.472108,2.184243,Frequently,no,2.867928,no,1.542345,1.903393,Sometimes,Walking,0
Male,16.932317,1.824580,102.701922,no,yes,2.031570,1.982518,Sometimes,yes,2.711118,no,1.814543,0.603201,Sometimes,Automobile,0
Male,28.304241,1.756631,50.024766,yes,yes,2.199835,2.410843,Sometimes,no,1.476950,no,0.870541,1.573023,Sometimes,Automobile,0
Female,18.104151,1.775541,99.806409,yes,yes,1.668331,1.483571,Sometimes,no,2.363975,no,2.395011,0.645152,Sometimes,Public_Transportation,0
Male,16.642329,1.809098,69.184347,yes,yes,1.440482,3.667289,Sometimes,yes,1.419493,no,1.271556,0.261923,Sometimes,Public_Transportation,0
Female,25.707410,1.689384,54.575224,no,yes,2.498655,1.594401,Sometimes,no,2.319110,no,0.879670,0.516433,Frequently,Public_Transportation,0
Female,18.031755,1.578931,65.173966,no,yes,2.072414,1.152393,Sometimes,no,2.041001,no,0.486970,0.980035,Sometimes,Public_Transportation,0
Female,16.318740,1.697150,50.932163,yes,yes,2.214592,1.432859,Sometimes,no,2.242642,no,0.630427,1.219875,Frequently,Automobile,0
Female,16.478829,1.636936,63.074246,yes,yes,1.542978,1.715896,Sometimes,no,2.345858,no,1.025315,1.483966,Sometimes,Public_Transportation,0
Male,31.867892,1.732528,113.507496,yes,yes,2.916305,1.940219,Sometimes,no,2.419291,no,2.048077,0.186402,no,Automobile,1
Male,24.077950,1.786364,51.509082,yes,yes,1.728679,3.754331,Sometimes,no,1.515173,no,0.964567,1.725373,Sometimes,Automobile,0
Female,17.227313,1.702523,136.186314,yes,yes,2.604118,1.105768,Sometimes,no,2.087847,no,2.448658,0.047639,Sometimes,Public_Transportation,0
Female,22.036766,1.660897,87.082911,no,yes,1.174772,2.231187,Sometimes,no,2.914343,no,2.400391,0.415643,Sometimes,Public_Transportation,0
Female,18.519997,1.789492,63.014396,no,yes,2.146841,1.521984,Sometimes,no,1.491016,no,2.349919,1.158205,Sometimes,Public_Transportation,0
Female,21.817124,1.632053,42.506265,yes,yes,2.577571,3.449779,Sometimes,no,1.750387,no,0.602314,0.674718,no,Public_Transportation,0
Male,20.285214,1.768150,82.578803,yes,yes,1.442837,1.509897,Always,no,1.751000,no,0.676561,1.906882,Sometimes,Public_Transportation,0
Male,20.053138,1.849939,84.599911,yes,yes,1.674573,3.483323,Sometimes,no,1.872652,no,1.458533,0.827035,Sometimes,Public_Transportation,0
Female,38.133034,1.590558,76.388024,yes,yes,1.910743,3.051346,Frequently,no,2.021081,no,2.884558,0.246125,Frequently,Public_Transportation,0
Male,19.564561,1.734190,61.474917,no,no,2.442623,3.096514,Sometimes,no,1.222623,no,0.455954,0.165508,no,Public_Transportation,0
Female,17.493126,1.580727,77.830636,yes,yes,1.986988,3.142547,Frequently,no,2.151393,no,0.418019,1.950167,Sometimes,Public_Transportation,0
Female,22.594896,1.554585,60.725357,yes,yes,2.558237,1.438923,Sometimes,no,2.196686,no,0.774296,1.688675,no,Public_Transportation,0
Male,25.447499,1.729644,59.014502,yes,yes,2.908457,2.861778,Sometimes,no,1.240409,no,1.724265,0.107421,no,Public_Transportation,0
Male,22.755003,1.818443,130.012633,yes,yes,2.843411,1.991207,Sometimes,no,2.805898,no,2.415714,0.029301,no,Public_Transportation,1
Female,19.303541,1.527742,66.151957,yes,yes,2.320605,2.766251,Sometimes,no,2.542384,no,2.786743,1.126270,Sometimes,Public_Transportation,0
Female,19.225689,1.539498,72.862699,yes,yes,2.922714,2.724220,Sometimes,no,2.123319,no,1.299621,1.820945,no,Public_Transportation,0
Male,24.432223,1.707442,88.885659,yes,yes,2.676625,2.780813,Sometimes,no,1.328545,no,2.923166,0.102043,Sometimes,Public_Transportation,0
Male,16.266030,1.756698,47.828961,yes,no,2.266116,3.113489,Sometimes,no,2.546728,no,1.790171,1.615076,Sometimes,Public_Transportation,0
Male,20.254187,1.820263,108.168465,yes,yes,2.758651,1.462765,Sometimes,no,2.578118,no,2.562305,1.463349,no,Public_Transportation,0
